<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.12.12	08:00:00	77531	77982	77469	77834	48230	14143	1
2013.12.12	10:00:00	77826	78106	77446	77857	205770	54035	1
2013.12.12	12:00:00	77865	78028	77330	77531	189480	52222	1
2013.12.12	14:00:00	77524	77788	77431	77694	151770	39972	1
2013.12.12	16:00:00	77694	77997	77640	77997	117980	33246	1
2013.12.13	08:00:00	78121	78377	78013	78315	37060	10497	1
2013.12.13	10:00:00	78323	78494	78121	78292	133060	36383	1
2013.12.13	12:00:00	78292	78315	77842	77966	146870	41574	1
2013.12.13	14:00:00	77974	78005	77632	77749	110600	31120	1
2013.12.13	16:00:00	77756	77951	77531	77578	94780	28193	1
2013.12.16	08:00:00	77865	78005	77694	77982	22100	6395	1
2013.12.16	10:00:00	77974	78253	77826	78214	105040	28591	1
2013.12.16	12:00:00	78230	78665	78059	78385	168180	46919	1
2013.12.16	14:00:00	78377	78470	78183	78284	107780	29443	1
2013.12.16	16:00:00	78276	78276	77888	77888	110290	33484	1
2013.12.17	08:00:00	77725	78028	77687	77989	25800	7378	1
2013.12.17	10:00:00	77989	78517	77982	78300	155840	42888	1
2013.12.17	12:00:00	78308	78401	77842	77850	185730	47554	1
2013.12.17	14:00:00	77842	78137	77819	78098	130340	34179	1
2013.12.17	16:00:00	78090	78098	77702	77989	108630	32490	1
2014.01.02	08:00:00	80041	80165	79856	80041	26650	6502	1
2014.01.02	10:00:00	80034	80118	78915	78938	147410	40646	1
2014.01.02	12:00:00	78938	79239	78614	78730	168140	41961	1
2014.01.02	14:00:00	78738	78768	77858	78082	146980	39045	1
2014.01.02	16:00:00	78082	78259	77719	77758	123030	35992	1
2014.01.03	08:00:00	77681	78167	77619	77935	22450	6533	1
2014.01.03	10:00:00	77943	78645	77943	78599	131000	33475	1
2014.01.03	12:00:00	78599	78676	78082	78298	170300	43113	1
2014.01.03	14:00:00	78298	78591	77943	78414	166770	44292	1
2014.01.03	16:00:00	78421	79586	78352	79586	167040	48448	1
2014.01.06	08:00:00	79038	79239	78714	79146	38070	11122	1
2014.01.06	10:00:00	79154	79162	78182	78938	177570	45818	1
2014.01.06	12:00:00	78938	79015	78414	78676	192200	46075	1
2014.01.06	14:00:00	78676	78992	78390	78876	189780	48033	1
2014.01.06	16:00:00	78876	79316	78846	78846	164070	45629	1
2014.01.07	08:00:00	79069	79617	78961	79154	33040	10092	1
2014.01.07	10:00:00	79154	79895	78915	79810	186520	49555	1
2014.01.07	12:00:00	79810	79980	78915	78954	210130	56208	1
2014.01.07	14:00:00	78954	78984	78051	78398	191480	49824	1
2014.01.07	16:00:00	78398	78537	78074	78090	136390	40594	1
2014.01.08	08:00:00	78113	78684	78105	78537	38080	10543	1
2014.01.08	10:00:00	78560	78768	78259	78637	185740	46536	1
2014.01.08	12:00:00	78630	78822	78344	78367	193250	46428	1
2014.01.08	14:00:00	78375	78552	78159	78437	125370	31709	1
2014.01.08	16:00:00	78429	78668	78066	78113	136830	36992	1
2014.01.09	08:00:00	78375	78421	78012	78097	39490	11456	1
2014.01.09	10:00:00	78120	78267	77627	77766	162350	40033	1
2014.01.09	12:00:00	77773	77843	76855	77010	211860	53531	1
